dataset,oracle_best_algorithm,oracle_best_ari,oracle_time_ms,DeepModel_algorithm,DeepModel_oracle_ari,DeepModel_time_ms,ML2DAC_statistical+info-theory+general_algorithm,ML2DAC_statistical+info-theory+general_oracle_ari,ML2DAC_statistical+info-theory+general_time_ms,AML4C_DBCV_algorithm,AML4C_DBCV_oracle_ari,AML4C_DBCV_time_ms,AML4C_COP_algorithm,AML4C_COP_oracle_ari,AML4C_COP_time_ms,ML2DAC_statistical+general_algorithm,ML2DAC_statistical+general_oracle_ari,ML2DAC_statistical+general_time_ms,AutoCluster_CH_algorithm,AutoCluster_CH_oracle_ari,AutoCluster_CH_time_ms,AutoCluster_DBI_algorithm,AutoCluster_DBI_oracle_ari,AutoCluster_DBI_time_ms,AutoCluster_SIL_algorithm,AutoCluster_SIL_oracle_ari,AutoCluster_SIL_time_ms,AutoClust_algorithm,AutoClust_oracle_ari,AutoClust_time_ms,davies_bouldin_algorithm,davies_bouldin_oracle_ari,davies_bouldin_time_ms_total,calinski_harabasz_algorithm,calinski_harabasz_oracle_ari,calinski_harabasz_time_ms_total,silhouette_algorithm,silhouette_oracle_ari,silhouette_time_ms_total,dunn_algorithm,dunn_oracle_ari,dunn_time_ms_total
Segmentation,k-medians,0.523735702701219,532621.5459169998,optics,0.2524502815082172,75.35099983215332,birch,0.4751170691890305,1057.692527770996,dbscan,0.3013136666643123,927.6764392852784,birch,0.4751170691890305,1001.5206336975098,k-means,0.4615460297436876,40.7838821411132,dbscan,0.3013136666643123,9899.710655212402,dbscan,0.3013136666643123,10243.738412857056,dbscan,0.3013136666643123,15589.632749557495,mean_shift,0.4365019772997843,13099.692106246948,mean_shift,0.4365019772997843,532655.6519168607,optics,0.2524502815082172,532629.611516948,optics,0.2524502815082172,533043.8558171681,optics,0.2524502815082172,536534.3786169487
SonarAll,affinity_propagation,0.0444195804905575,49629.02155999927,agglomerative,0.0287104219176447,11.972100008279083,birch,-0.0013782379757571,887.9344463348389,birch,-0.0013782379757571,936.8762969970704,ward,0.0044586128268136,858.9551448822021,birch,-0.0013782379757571,220.6673622131347,dbscan,0.0125190377220366,1045.5293655395508,dbscan,0.0125190377220366,940.2916431427002,dbscan,0.0125190377220366,1064.856767654419,mean_shift,0.0181334277728469,490.4191493988037,mean_shift,0.0181334277728469,49648.28996003507,k-means,-0.001414949657323,49635.02645997232,optics,0.0121609802761386,49642.243059975044,optics,0.0121609802761386,49657.51146005368
Spectf,dbscan,0.2555076859524542,68171.72325200046,dbscan,0.2555076859524542,14.09729989245534,k-means,-0.1026042961417461,840.9185409545898,k-means,-0.1026042961417461,902.2464752197266,birch,-0.1065275390418156,848.5443592071533,k-means,-0.1026042961417461,130.6567192077636,dbscan,0.2555076859524542,1512.4292373657229,dbscan,0.2555076859524542,1496.0832595825195,dbscan,0.2555076859524542,1584.9618911743164,mean_shift,0.0,759.8068714141846,spectral_clustering,-0.005504203528682,68180.45085186715,k-means,-0.1026042961417461,68173.9921519311,spectral_clustering,-0.005504203528682,68184.96305199916,spectral_clustering,-0.005504203528682,68215.58625211584
Transfusion,birch,0.1252025996403785,98163.37997500069,spectral_clustering,0.0361631767560834,12.940500164404511,k-means,0.0526558953237349,71.2506771087646,dbscan,0.0324429043171031,77.5384902954101,ward,0.0725373624343418,78.6235332489013,ward,0.0725373624343418,5.6092739105224005,dbscan,0.0324429043171031,416.6784286499023,dbscan,0.0324429043171031,376.1141300201416,dbscan,0.0324429043171031,2870.61619758606,dbscan,0.0324429043171031,1218.1339263916016,agglomerative,0.0310839664010938,98175.95387493476,hdbscan,-0.0050164062304035,98166.84297505982,agglomerative,0.0310839664010938,98221.11717505596,agglomerative,0.0310839664010938,98477.2071748621
Vehicle,spectral_clustering,0.1189598520466363,152302.73775200022,spectral_clustering,0.1189598520466363,16.51509990915656,k-means,0.0761244520806915,875.7340908050537,ward,0.0924164736299749,800.7199764251709,ward,0.0924164736299749,833.57834815979,k-means,0.0761244520806915,31.1574935913085,dbscan,0.0993229842315328,2985.917091369629,dbscan,0.0993229842315328,3338.4408950805664,dbscan,0.0993229842315328,3466.907501220703,dbscan,0.0993229842315328,2852.86021232605,dbscan,0.0993229842315328,152317.50775200909,k-means,0.0761244520806915,152306.4684521187,hdbscan,0.0893272912779587,152376.7725518219,hdbscan,0.0893272912779587,152795.6626520272
VertebralColumn,agglomerative,0.4511705595378765,48467.403908999586,gaussian,0.4120765288685588,12.701699975878,birch,0.2918561134052034,232.2702407836914,birch,0.2918561134052034,168.0085659027099,ward,0.2669541115519109,173.0422973632812,k-means,0.2113914793268105,7.3182582855224,dbscan,0.3289180875300741,199.5787620544433,dbscan,0.3289180875300741,214.2477035522461,dbscan,0.3289180875300741,1301.5830516815186,mean_shift,0.1227611196315457,803.1246662139893,hdbscan,0.2789729601535117,48477.77910907189,k-means,0.2113914793268105,48469.58410906973,hdbscan,0.2789729601535117,48479.873108951324,hdbscan,0.2789729601535117,48528.39670893172
Vowel_context,birch,0.192812814522729,188219.00257800004,spectral_clustering,0.1779615014114859,13.265400193631647,ward,0.1673194515217492,531.4218997955322,ward,0.1673194515217492,523.6260890960693,ward,0.1673194515217492,529.353141784668,ward,0.1673194515217492,12.430191040039,dbscan,0.1355906628083178,925.764799118042,dbscan,0.1355906628083178,1435.3890419006348,dbscan,0.1355906628083178,2968.064546585083,mean_shift,0.1702901838648277,3213.826894760132,dbscan,0.1355906628083178,188247.13497800982,k-means,0.17925067712686,188224.47557799748,affinity_propagation,0.1304317104940076,188324.12587810538,hdbscan,0.0318188240493151,188947.0293780905
Wine,spectral_clustering,0.9471317617859916,23172.44795499755,spectral_clustering,0.9471317617859916,12.651599943637848,k-means,0.8974949815093207,707.5967788696289,gaussian,0.8974949815093207,696.9714164733887,birch,0.7899332213582837,697.6771354675293,k-means,0.8974949815093207,8.1081390380859,dbscan,0.4361857850990205,156.8353176116943,dbscan,0.4361857850990205,159.6159934997558,dbscan,0.4361857850990205,167.4535274505615,dbscan,0.4361857850990205,384.3965530395508,optics,0.7330177684582198,23181.573354866487,optics,0.7330177684582198,23174.76195515519,optics,0.7330177684582198,23180.935555132237,optics,0.7330177684582198,23196.136154927444
WineQualityRed,birch,0.0914963107978991,472995.8166419983,birch,0.0914963107978991,32.67450002022088,gaussian,0.0842028407617526,691.1261081695557,k-means,0.0627331905369501,648.4005451202393,ward,0.0637540600308819,654.3929576873779,k-means,0.0627331905369501,15.1679515838623,dbscan,0.0250437127978275,2354.81071472168,dbscan,0.0250437127978275,3712.067127227783,dbscan,0.0250437127978275,5265.806436538696,dbscan,0.0250437127978275,5971.889019012451,hdbscan,0.0218955533621026,473019.73394192645,k-means,0.0627331905369501,473001.4450420149,hdbscan,0.0218955533621026,473206.8255420763,hdbscan,0.0218955533621026,474723.29104207346
Yeast,spectral_clustering,0.2394943091652681,270142.4228569986,spectral_clustering,0.2394943091652681,27.71069994196296,ward,0.198691795809642,440.955638885498,ward,0.198691795809642,313.9963150024414,ward,0.198691795809642,323.4999179840088,ward,0.198691795809642,11.3275051116943,dbscan,0.0408706301517017,2102.677583694458,dbscan,0.0408706301517017,3004.148006439209,dbscan,0.0408706301517017,6804.727554321289,mean_shift,0.1734967368540825,3581.299304962158,hdbscan,0.011631776325701,270173.11505694216,k-means,0.1653673113651511,270148.81265699206,hdbscan,0.011631776325701,270320.852856853,hdbscan,0.011631776325701,271687.1302570244
mean,,0.4015984113033145,,,0.3527897694537437,,,0.2542368506229638,,,0.2494419162909096,,,0.2460887004696535,,,0.2377587888213343,,,0.2297760009866832,,,0.2297760009866832,,,0.2297760009866832,,,0.2294232885026932,,,0.2183814446160158,,,0.2109402680823459,,,0.1877786962974492,,,0.1869583706313985,
